Entry	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)
A0A023PZF9			integral component of membrane [GO:0016021]
P36031			
Q04923			
A0A023PZC3			
P0C5P3			integral component of membrane [GO:0016021]
Q8TGP3			
P46992			anchored component of membrane [GO:0031225]; endoplasmic reticulum [GO:0005783]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q12327			
Q04814			mitochondrion [GO:0005739]
A0A023PZC7			
P40103			
Q07613			
A0A023PXI4			
Q12324	calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane import into cytosol [GO:0097553]; cellular cation homeostasis [GO:0030003]	calcium activated cation channel activity [GO:0005227]; calcium channel activity [GO:0005262]; ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; sodium channel activity [GO:0005272]; voltage-gated ion channel activity [GO:0005244]	fungal-type vacuole [GO:0000324]; fungal-type vacuole membrane [GO:0000329]; integral component of plasma membrane [GO:0005887]; vacuole-mitochondrion membrane contact site [GO:1990816]
Q3E807			
Q12351			
P41920	G1/S transition of mitotic cell cycle [GO:0000082]; positive regulation of GTPase activity [GO:0043547]; protein import into nucleus [GO:0006606]; RNA export from nucleus [GO:0006405]; ubiquitin-dependent protein catabolic process [GO:0006511]	GTPase activator activity [GO:0005096]; small GTPase binding [GO:0031267]	cytoplasm [GO:0005737]; nuclear pore [GO:0005643]; nucleus [GO:0005634]
Q12010	basic amino acid transmembrane export from vacuole [GO:0034488]	basic amino acid transmembrane transporter activity [GO:0015174]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; fungal-type vacuole membrane [GO:0000329]; integral component of fungal-type vacuolar membrane [GO:0071627]; integral component of membrane [GO:0016021]
P38815		phosphatidylinositol-3-phosphate binding [GO:0032266]	endosome [GO:0005768]; endosome membrane [GO:0010008]
Q08504			
Q12439	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P53870			
P53748			endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
P53921	mitochondrial translation [GO:0032543]	structural constituent of ribosome [GO:0003735]	large ribosomal subunit [GO:0015934]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]
P39703			
P0C5N3			mitochondrion [GO:0005739]
P53212			mitochondrion [GO:0005739]
P53234	DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; mitotic cell cycle [GO:0000278]	chromatin binding [GO:0003682]	nuclear replication fork [GO:0043596]
P47098	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
Q04434			
P40519			integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
A0A023PYI2			
P36158	protein retention in Golgi apparatus [GO:0045053]; retrograde transport, endosome to Golgi [GO:0042147]	phosphatidylinositol-3-phosphate binding [GO:0032266]; phosphatidylinositol binding [GO:0035091]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]
P39999			cytoplasm [GO:0005737]
P36092			integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
Q6Q571			
Q12744			
A0A023PXF8			integral component of membrane [GO:0016021]
P25654		zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P47157	cellular respiration [GO:0045333]; mitochondrion organization [GO:0007005]; sterol transport [GO:0015918]		
P36042			
P36083	response to drug [GO:0042493]		cytoplasm [GO:0005737]
P40889		ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; helicase activity [GO:0004386]	cytoplasm [GO:0005737]
Q8TGT2			integral component of membrane [GO:0016021]
Q07355			integral component of membrane [GO:0016021]
Q02590			
Q8TGP2			
P0C272			
Q08560			integral component of membrane [GO:0016021]
P40323			
P40105	telomere maintenance via recombination [GO:0000722]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P0CX14	telomere maintenance via recombination [GO:0000722]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q06107	lipid homeostasis [GO:0055088]		endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q08872			
Q08270			
O13586			
Q08272			integral component of membrane [GO:0016021]
Q08974	cell cycle [GO:0007049]		integral component of membrane [GO:0016021]
Q99337	DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P53979			integral component of membrane [GO:0016021]
P53932	transmembrane transport [GO:0055085]		endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
P40021	fungal-type cell wall organization [GO:0031505]		cellular bud [GO:0005933]; cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]
P39967	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent deubiquitinase [GO:0004843]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P34223	ascospore formation [GO:0030437]; autophagosome assembly [GO:0000045]; glycogen metabolic process [GO:0005977]; Golgi organization [GO:0007030]; membrane fusion [GO:0061025]; nuclear envelope reassembly [GO:0031468]; piecemeal microautophagy of the nucleus [GO:0034727]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; sister chromatid biorientation [GO:0031134]; ubiquitin-dependent ERAD pathway [GO:0030433]	protein phosphatase regulator activity [GO:0019888]; ubiquitin binding [GO:0043130]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P25591	vacuole inheritance [GO:0000011]	protein-membrane adaptor activity [GO:0043495]	fungal-type vacuole membrane [GO:0000329]; Myo2p-Vac17p-Vac8p transport complex [GO:0071563]
P53950	positive regulation of kinase activity [GO:0033674]; positive regulation of phosphatidylinositol biosynthetic process [GO:0010513]; protein localization to vacuolar membrane [GO:1903778]; vacuole inheritance [GO:0000011]		cytoplasm [GO:0005737]; fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; PAS complex [GO:0070772]; vacuolar membrane [GO:0005774]
P47061	cellular sphingolipid homeostasis [GO:0090156]; Golgi to vacuole transport [GO:0006896]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]		cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]
P52917	endosomal transport [GO:0016197]; intralumenal vesicle formation [GO:0070676]; late endosome to vacuole transport [GO:0045324]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; macroautophagy [GO:0016236]; protein retention in Golgi apparatus [GO:0045053]; protein transport [GO:0015031]; reticulophagy [GO:0061709]; sterol metabolic process [GO:0016125]; vacuole organization [GO:0007033]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endosome [GO:0005768]; ESCRT IV complex [GO:1990621]; membrane [GO:0016020]; nucleus [GO:0005634]
P0CI66	flocculation [GO:0000128]		
Q3E787			
P38268			integral component of membrane [GO:0016021]
P38311			integral component of membrane [GO:0016021]
A0A023PYC6			integral component of membrane [GO:0016021]
P38887	nucleotide catabolic process [GO:0009166]	hydrolase activity [GO:0016787]	cytosol [GO:0005829]; fungal-type vacuole [GO:0000324]
P53126			
P0C5N6			
O13534			
P53120			endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q8TGT8			
P0CX96			integral component of membrane [GO:0016021]
P53288			integral component of membrane [GO:0016021]
Q03187			integral component of membrane [GO:0016021]
Q03780			cytoplasm [GO:0005737]
Q06199			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P53093		identical protein binding [GO:0042802]; small GTPase binding [GO:0031267]	Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
P40579		oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor [GO:0050664]	cytoplasm [GO:0005737]
P40556	mitochondrial NAD transmembrane transport [GO:1990549]; mitochondrial pyruvate transmembrane transport [GO:0006850]; NAD transmembrane transport [GO:0035352]	NAD transmembrane transporter activity [GO:0051724]; pyruvate secondary active transmembrane transporter activity [GO:0005477]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
A0A023PZG9			integral component of membrane [GO:0016021]
P40538			integral component of membrane [GO:0016021]
P36086	cellular detoxification of aldehyde [GO:0110095]	alcohol dehydrogenase (NAD+) activity [GO:0004022]	cytoplasm [GO:0005737]
P37265	chromosome segregation [GO:0007059]		integral component of membrane [GO:0016021]
Q07790			integral component of membrane [GO:0016021]
P47059			
P36030			
Q08027			integral component of membrane [GO:0016021]
A0A023PXH2			
P38690	proline biosynthetic process [GO:0006561]	ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
P87263			
Q12257	regulation of translational initiation [GO:0006446]		
P38841	vacuole fusion, non-autophagic [GO:0042144]	endopeptidase inhibitor activity [GO:0004866]	
P47086			
P42826	D-xylose metabolic process [GO:0042732]; phosphorylation [GO:0016310]; xylulose catabolic process [GO:0005998]; xylulose metabolic process [GO:0005997]	ATP binding [GO:0005524]; phosphotransferase activity, alcohol group as acceptor [GO:0016773]; xylulokinase activity [GO:0004856]	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q3E821			extracellular region [GO:0005576]
P25562			
P37263	negative regulation of transcription by RNA polymerase II [GO:0000122]; rRNA processing [GO:0006364]	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	nucleolus [GO:0005730]
Q3E820			integral component of membrane [GO:0016021]
Q8TGR8			
P0C1V3			
P34225	actin cortical patch localization [GO:0051666]; positive regulation of phosphatidylinositol biosynthetic process [GO:0010513]; protein localization [GO:0008104]; regulation of ARF protein signal transduction [GO:0032012]	guanyl-nucleotide exchange factor activity [GO:0005085]	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P0C5N7			
Q04033	proteolysis [GO:0006508]	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]	fungal-type vacuole [GO:0000324]
P40095	actin cytoskeleton organization [GO:0030036]	actin binding [GO:0003779]	
Q05510			
Q03483	transposition, RNA-mediated [GO:0032197]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]; retrotransposon nucleocapsid [GO:0000943]
P53183	cellular aromatic compound metabolic process [GO:0006725]; cellular ketone metabolic process [GO:0042180]; response to furfural [GO:1901426]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; carbonyl reductase (NADPH) activity [GO:0004090]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]	cytoplasm [GO:0005737]
P28626			integral component of membrane [GO:0016021]
Q3E6R4			anchored component of membrane [GO:0031225]; endoplasmic reticulum [GO:0005783]; plasma membrane [GO:0005886]
P36058			
Q03559			cellular bud [GO:0005933]; mating projection tip [GO:0043332]
Q12047			
Q3E7B0			endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q07865			integral component of membrane [GO:0016021]
Q08419			
P40104			
A0A023PZM3			integral component of membrane [GO:0016021]
P0CX20	telomere maintenance via recombination [GO:0000722]	ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; nucleic acid binding [GO:0003676]	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40583	fungal-type cell wall organization [GO:0031505]	aspartic-type endopeptidase activity [GO:0004190]	anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]
Q08411			
Q08620			
Q12225			integral component of membrane [GO:0016021]
Q08930	protein K48-linked deubiquitination [GO:0071108]	cysteine-type carboxypeptidase activity [GO:0016807]; Lys48-specific deubiquitinase activity [GO:1990380]; thiol-dependent deubiquitinase [GO:0004843]	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]
Q3E769			cytoplasm [GO:0005737]; nucleus [GO:0005634]
P40168			mitochondrion [GO:0005739]
P53842			integral component of membrane [GO:0016021]
P53948			
P19358	methionine metabolic process [GO:0006555]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; methionine adenosyltransferase activity [GO:0004478]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]
P32389	cysteine biosynthetic process [GO:0019344]; methionine biosynthetic process [GO:0009086]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to arsenic-containing substance [GO:0046685]; response to cadmium ion [GO:0046686]; sulfur amino acid metabolic process [GO:0000096]	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]	Cbf1-Met4-Met28 complex [GO:0089713]; nucleus [GO:0005634]
P08465	homoserine metabolic process [GO:0009092]; methionine biosynthetic process [GO:0009086]; sulfur amino acid metabolic process [GO:0000096]	homoserine O-acetyltransferase activity [GO:0004414]	cytoplasm [GO:0005737]
